fold_id,train_size,test_size,train_nrb,train_rb,test_nrb,test_rb,feature_set
1,844,211,560,284,139,72,full_enhanced
2,844,211,559,285,140,71,full_enhanced
3,844,211,559,285,140,71,full_enhanced
4,844,211,559,285,140,71,full_enhanced
5,844,211,559,285,140,71,full_enhanced
1,844,211,560,284,139,72,top_ranked
2,844,211,559,285,140,71,top_ranked
3,844,211,559,285,140,71,top_ranked
4,844,211,559,285,140,71,top_ranked
5,844,211,559,285,140,71,top_ranked
1,844,211,560,284,139,72,proxy_only
2,844,211,559,285,140,71,proxy_only
3,844,211,559,285,140,71,proxy_only
4,844,211,559,285,140,71,proxy_only
5,844,211,559,285,140,71,proxy_only
1,844,211,560,284,139,72,reduced_hybrid
2,844,211,559,285,140,71,reduced_hybrid
3,844,211,559,285,140,71,reduced_hybrid
4,844,211,559,285,140,71,reduced_hybrid
5,844,211,559,285,140,71,reduced_hybrid
