fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall,feature_set
1,baseline,logistic_regression,129,10,17,55,0.8720379146919431,0.8461538461538461,0.7638888888888888,0.8029197080291971,0.9160671462829737,0.7638888888888888,full_enhanced
1,baseline,random_forest_classifier,129,10,19,53,0.8625592417061612,0.8412698412698413,0.7361111111111112,0.7851851851851852,0.9272082334132694,0.7361111111111112,full_enhanced
1,baseline,feedforward_neural_network,127,12,16,56,0.8672985781990521,0.8235294117647058,0.7777777777777778,0.8,0.9340527577937651,0.7777777777777778,full_enhanced
1,smote,logistic_regression,125,14,12,60,0.8767772511848341,0.8108108108108109,0.8333333333333334,0.821917808219178,0.9146682653876899,0.8333333333333334,full_enhanced
1,smote,random_forest_classifier,128,11,16,56,0.8720379146919431,0.835820895522388,0.7777777777777778,0.8057553956834532,0.9294564348521183,0.7777777777777778,full_enhanced
1,smote,feedforward_neural_network,126,13,13,59,0.8767772511848341,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.9227617905675459,0.8194444444444444,full_enhanced
2,baseline,logistic_regression,125,15,14,57,0.8625592417061612,0.7916666666666666,0.8028169014084507,0.7972027972027972,0.9164989939637826,0.8028169014084507,full_enhanced
2,baseline,random_forest_classifier,129,11,16,55,0.8720379146919431,0.8333333333333334,0.7746478873239436,0.8029197080291971,0.9363179074446679,0.7746478873239436,full_enhanced
2,baseline,feedforward_neural_network,124,16,23,48,0.8151658767772512,0.75,0.676056338028169,0.7111111111111111,0.8703219315895372,0.676056338028169,full_enhanced
2,smote,logistic_regression,113,27,10,61,0.8246445497630331,0.6931818181818182,0.8591549295774648,0.7672955974842768,0.9087525150905432,0.8591549295774648,full_enhanced
2,smote,random_forest_classifier,128,12,14,57,0.8767772511848341,0.8260869565217391,0.8028169014084507,0.8142857142857143,0.9367203219315895,0.8028169014084507,full_enhanced
2,smote,feedforward_neural_network,120,20,9,62,0.8625592417061612,0.7560975609756098,0.8732394366197183,0.8104575163398693,0.9304828973843058,0.8732394366197183,full_enhanced
3,baseline,logistic_regression,130,10,13,58,0.8909952606635071,0.8529411764705882,0.8169014084507042,0.8345323741007195,0.9404426559356137,0.8169014084507042,full_enhanced
3,baseline,random_forest_classifier,130,10,16,55,0.8767772511848341,0.8461538461538461,0.7746478873239436,0.8088235294117647,0.9377263581488934,0.7746478873239436,full_enhanced
3,baseline,feedforward_neural_network,129,11,14,57,0.8815165876777251,0.8382352941176471,0.8028169014084507,0.8201438848920863,0.9399396378269618,0.8028169014084507,full_enhanced
3,smote,logistic_regression,124,16,9,62,0.8815165876777251,0.7948717948717948,0.8732394366197183,0.8322147651006712,0.9416498993963783,0.8732394366197183,full_enhanced
3,smote,random_forest_classifier,130,10,17,54,0.8720379146919431,0.84375,0.7605633802816901,0.8,0.9416498993963783,0.7605633802816901,full_enhanced
3,smote,feedforward_neural_network,124,16,10,61,0.8767772511848341,0.7922077922077922,0.8591549295774648,0.8243243243243243,0.9266599597585513,0.8591549295774648,full_enhanced
4,baseline,logistic_regression,126,14,13,58,0.8720379146919431,0.8055555555555556,0.8169014084507042,0.8111888111888111,0.9216297786720322,0.8169014084507042,full_enhanced
