feature_set,model_name,evaluation_type,accuracy,precision,recall,f1_score,roc_auc,rb_recall,brier_score,log_loss,ece,mean_confidence,mean_uncertainty,mean_entropy,mean_uncertainty_correct,mean_uncertainty_incorrect,mean_entropy_correct,mean_entropy_incorrect,mean_confidence_incorrect,incorrect_count
full_enhanced,random_forest_classifier,cross_environment,0.44360189573459713,0.23448275862068965,0.28651685393258425,0.2579013906447535,0.31934264036906657,0.28651685393258425,0.4312676708244677,2.8870270900469053,0.3611571094066729,0.8047590051412701,0.19524099485872998,0.4076630293443123,0.22893882670015708,0.16837458037527528,0.4743085236769713,0.3545282911029419,0.8316254196247248,587.0
full_enhanced,logistic_regression,cross_environment,0.43507109004739336,0.25103734439834025,0.3398876404494382,0.28878281622911695,0.3931177765989937,0.3398876404494382,0.4877431660116814,2.5681865961240686,0.4582801426107008,0.889120928113396,0.11087907188660391,0.2456182857898937,0.12758273569458703,0.09801500865193236,0.27085521248545796,0.22618246472737022,0.9019849913480675,596.0
full_enhanced,feedforward_neural_network,cross_environment,0.4815165876777251,0.2720763723150358,0.3202247191011236,0.29419354838709677,0.4336612496182347,0.3202247191011236,0.37402747718189816,1.8989572096019698,0.3149230324545099,0.796439620132235,0.20356037986776498,0.37991433482645365,0.19614728498980483,0.21044493598842998,0.35001675161591456,0.407680280477192,0.7895550640115699,547.0
top_ranked,random_forest_classifier,cross_environment,0.5848341232227489,0.3710691823899371,0.33146067415730335,0.35014836795252224,0.5168981369854206,0.33146067415730335,0.2998030341514522,1.2261551137721964,0.21142883848642144,0.7861074638280798,0.21389253617192003,0.4319215068243495,0.2058990796480667,0.2251527249281245,0.4199819147464991,0.44874052123538544,0.7748472750718756,438.0
top_ranked,logistic_regression,cross_environment,0.6454976303317536,0.4819277108433735,0.6741573033707865,0.5620608899297423,0.6748927038626609,0.6741573033707865,0.26406597266389487,0.9650618701980617,0.16738069416857068,0.8128783245003242,0.1871216754996758,0.3936389904607336,0.17395517973430327,0.21109596324357596,0.3755697491921881,0.4265404698828711,0.7889040367564241,374.0
top_ranked,feedforward_neural_network,cross_environment,0.576303317535545,0.4021505376344086,0.5252808988764045,0.45554202192448234,0.5810146115638714,0.5252808988764045,0.26555661791500557,0.7756302564019619,0.11601894339545037,0.6906979803821006,0.3093020196178993,0.5511641675472998,0.2963779566230188,0.32688105832234543,0.5274864836100492,0.5833700553187723,0.6731189416776547,447.0
proxy_only,random_forest_classifier,cross_environment,0.24928909952606634,0.017699115044247787,0.02247191011235955,0.019801980198019802,0.04757599138416035,0.02247191011235955,0.6143863070881056,4.614873826377557,0.583101216079604,0.8321505357039042,0.1678494642960958,0.35211798593321086,0.29136927484059183,0.12683215347134524,0.5514455723816165,0.28592713336259135,0.8731678465286548,792.0
proxy_only,logistic_regression,cross_environment,0.16587677725118483,0.016605166051660517,0.025280898876404494,0.0200445434298441,0.08606195045892207,0.025280898876404494,0.7050075266911972,3.183056555869595,0.7235046366375025,0.8893814138886873,0.11061858611131273,0.26166480182621227,0.18636482186463565,0.09555541422854966,0.3842425241722723,0.2372885502233026,0.9044445857714504,880.0
proxy_only,feedforward_neural_network,cross_environment,0.1962085308056872,0.023255813953488372,0.033707865168539325,0.027522935779816515,0.07947147610551189,0.033707865168539325,0.5741698191374458,8.188852903344095,0.6130048993205355,0.8092134301262226,0.19078656987377743,0.35926883133354437,0.21342108572002344,0.1852613991424414,0.38282927818818885,0.353517637348979,0.8147386008575586,848.0
reduced_hybrid,random_forest_classifier,cross_environment,0.2890995260663507,0.11067193675889328,0.15730337078651685,0.12993039443155452,0.18393250389802446,0.15730337078651685,0.5012155042183967,3.1900652639513467,0.4913201647483638,0.7804196908147145,0.21958030918528548,0.4401607657885261,0.27004959114959115,0.1990561345198012,0.5211511930024193,0.40722465872154273,0.8009438654801988,750.0
reduced_hybrid,logistic_regression,cross_environment,0.3127962085308057,0.2121684867394696,0.38202247191011235,0.2728184553660983,0.2300115735159377,0.38202247191011235,0.5788106220517638,3.108324691545849,0.5452995581743698,0.8580957667051754,0.14190423329482452,0.3047434234347127,0.2100093733276968,0.11090465231434474,0.4348419392338797,0.2455261679675057,0.8890953476856552,725.0
reduced_hybrid,feedforward_neural_network,cross_environment,0.22748815165876776,0.1328,0.23314606741573032,0.1692150866462793,0.15221584607223804,0.23314606741573032,0.6576930679425561,3.2328612978485003,0.6486816191633484,0.8761697708221161,0.12383022917788383,0.2750872924603336,0.21064318842912444,0.09826567676034059,0.42528179252006276,0.23085823722802068,0.9017343232396594,815.0
