model_name,environment_id,accuracy,precision,recall,f1_score,roc_auc,rb_recall
logistic_regression,0,0.07046979865771812,1.0,0.02120141342756184,0.04152249134948097,0.9985865724381626,0.02120141342756184
random_forest_classifier,0,0.050335570469798654,0.0,0.0,0.0,0.5257950530035336,0.0
feedforward_neural_network,0,0.050335570469798654,0.0,0.0,0.0,0.9992932862190813,0.0
descriptor_graph_neural_network_prototype,0,0.050335570469798654,0.0,0.0,0.0,1.0,0.0
logistic_regression,1,0.8565573770491803,0.0,0.0,0.0,0.4602784602784603,0.0
random_forest_classifier,1,0.9262295081967213,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.7540950040950041,0.36363636363636365
feedforward_neural_network,1,0.8278688524590164,0.0,0.0,0.0,0.26269451269451266,0.0
descriptor_graph_neural_network_prototype,1,0.9098360655737705,0.0,0.0,0.0,0.8196150696150696,0.0
logistic_regression,2,0.19103313840155944,0.10262008733624454,0.9215686274509803,0.18467583497053044,0.5187165775401069,0.9215686274509803
random_forest_classifier,2,0.28654970760233917,0.11491442542787286,0.9215686274509803,0.20434782608695654,0.4615694762753586,0.9215686274509803
feedforward_neural_network,2,0.18128654970760233,0.10151187904967603,0.9215686274509803,0.1828793774319066,0.5704948646125116,0.9215686274509803
descriptor_graph_neural_network_prototype,2,0.14619883040935672,0.08207343412526998,0.7450980392156863,0.14785992217898833,0.3346490111195994,0.7450980392156863
